BARCODE,VENDOR,QUANTITY
21108E51C740A80020000040000000B0,20SIGM,1
21108E51C740A80020000020000000B2,20SIGM,1
11108E5E7B40A0002000038000000000,20SIGM,1
21108E5E7B40A00020000020000000AE,20SIGM,2
21108E28C480A80020000B40000000A0,20SIGM,1
21108E28C480A80020000AA00000009B,20SIGM,1
21108E28C480A80020000AE000000097,20SIGM,1
21108E28C480A80020000C400000009F,20SIGM,2
21108E28C480A80020000C800000009B,20SIGM,2
21108E28C480A80020000D00000000A2,20SIGM,1
21108E28C480A80020000B20000000A2,20SIGM,1
21108E28C480A80020000C00000000A3,20SIGM,1
21108E28C480A80020000CE000000095,20SIGM,2
1110A520A580A000200000A000000000,20SIGM,1
21109D71ED00A800200000A0000000A4,20SIGM,2
21109D71ED00A80020000040000000AA,20SIGM,2
21109D79A680A800200004800000009D,20SIGM,20
